10      51  true  true
  0    54
  1    93
  2    55
  3    49
  4    60
  5    30
  6    27
  7    49
  8    72
  9    40
  0   3   76
  0   4    7
  0   5    7
  0   6   31
  0   7   92
  0   8   11
  1   0   52
  1   4   51
  1   6   10
  1   8   22
  2   0   34
  2   4   85
  2   8   46
  2   9   84
  3   0   91
  3   1   33
  3   5   17
  3   8   38
  3   9   36
  4   1   90
  4   3    6
  4   5   50
  4   6   46
  4   7   75
  4   8   82
  4   9   53
  5   6   39
  5   7   63
  5   8   86
  6   0   58
  6   2   19
  6   3   85
  6   8   74
  6   9   85
  7   0   73
  7   1   29
  7   3   61
  7   4   92
  7   6   86
  8   2   75
  8   4   72
  8   5   51
  8   6   82
  8   7   17
  8   9   16
  9   1   25
  9   3   51
  9   5   89
  9   6   46
  9   7   82
  9   8   91
